Mnemonic,Description
ASKHELP,ASKED RELATIVES FRIENDS COLLEAGUES TO HELP
ASKMENTL,GOVT INVESTIGATE WORKERS MENTAL HEALTH
ASKOTHER,HAS R ASKED SOMEONE ELSE FOR HELP WITH SOFTWARE
ASKSEXOR,GOVT INVESTIGATE WORKERS SEXUAL ORIENTATION
ASKWKSCH,R FIGURED OUT PROBLEMS WITH WEB ON OWN
ASKWORK,HAS R ASKED SOMEONE AT WORK FOR HELP WITH SOFTWARE
ASNCHNG,PERCENTAGE CHANGE POPULATION OF ASIANS IN 25 YR
ASNCLS,DOES R FEEL CLOSE TO ASIANS
ASNCOM,DOES R KNOW ASIANS FROM COMMUNITY
ASNGOVT,DO ASIAN-AMERICANS GET PROPER GOVT ATTENTION
ASNHOUSE,ASIANS DISCRIMINATED IN HOUSING
ASNJOBS,ASIANS DISCRIMINATED IN JOBS
ASNREL,DOES R KNOW ASIANS AS RELATIVE
ASNSCHL,DOES R KNOW ASIANS FROM SCHOOL
ASNWRK,DOES R KNOW ASIANS FROM WORK
ASTROLGY,EVER READ A HOROSCOPE OR PERSONAL ASTROLOGY REPORT
ASTROSCI,ASTROLOGY IS SCIENTIFIC
ATEASE,FELT AT EASE?
ATHEISTS,GROUP   - ATHIESTS
ATHLETIC,R IS AN ATHLETIC PERSON
ATTEND,HOW OFTEN R ATTENDS RELIGIOUS SERVICES
ATTEND12,FREQ OF R'S RELIG SVC ATTENDANCE AT AGE 12
ATTENDMA,FREQ OF R'S MOM'S RELIG SVC ATTENDANCE
ATTENDPA,FREQ OF R'S DAD'S RELIG SVC ATTENDANCE
ATTNDGRP,HAS R ATTENDED GROUP CONFERENCES
ATTRACTD,AT WHAT AGE WERE YOU FIRST SEXUALLY ATTRACTED TO SAME SEX
ATTRALLY,ATTENDED A POLITICAL MEETING OR RALLY
ATTREG,LAST 7 DAYS ATTEND A WORSHIP SERVICE
ATTRELIG,LAST WEEK ATTENDED RELIGIOUS SERVICES?
ATTSPRTS,ATTENDED SPORTS EVENT IN LST YR
ATTWEEK,ATTEND RELIGIOUS EVENTS DURING THE LAST WEEK
AUTOMATN,MY JOB IS CONTROLLED BY MY MACHINE
AUTONOJB,R HEARD OF PERSONS IN R'S FIRM HAVING JOBS REPLACED BY COMPUTERS
AUTORACE,ATTENDED AUTO RACE IN LST YR
AVOIDBUY,BOYCOTTED PRODUCTS FOR POL REASONS
AVOIDMH,R CHANGED SHOPPING PLACE DUE TO PRESENCE OF MENTALLY ILL PPL
AWAY1,IS 1ST PERSON STAYING SOMEWHERE ELSE NOW?
AWAY10,IS 10TH PERSON STAYING SOMEWHERE ELSE NOW?
AWAY11,IS 11TH PERSON (VISITOR) STAYING ELSEWHERE NOW?
AWAY12,IS 12TH PERSON (VISITOR) STAYING ELSEWHERE NOW?
AWAY13,IS 13TH PERSON (VISITOR) STAYING ELSEWHERE NOW?
AWAY14,IS 14TH PERSON (VISITOR) STAYING ELSEWHERE NOW?
AWAY2,IS 2ND PERSON STAYING SOMEWHERE ELSE NOW?
AWAY3,IS 3RD PERSON STAYING SOMEWHERE ELSE NOW?
AWAY4,IS 4TH PERSON STAYING SOMEWHERE ELSE NOW?
AWAY5,IS 5TH PERSON STAYING SOMEWHERE ELSE NOW?
AWAY6,IS 6TH PERSON STAYING SOMEWHERE ELSE NOW?
AWAY7,IS 7TH PERSON STAYING SOMEWHERE ELSE NOW?
AWAY8,IS 8TH PERSON STAYING SOMEWHERE ELSE NOW?
AWAY9,IS 9TH PERSON STAYING SOMEWHERE ELSE NOW?
BABIES,HOUSEHOLD MEMBERS LESS THAN 6 YRS OLD
BACKPAIN,R HAD BACK PAIN IN THE PAST 12 MONTHS
BADBRKS,MOST OF MY PROBLEMS ARE DUE TO BAD BREAKS.
BADCHAR,SITUATION CAUSED BY OWN BAD CHARACTER
BALLOT,BALLOT USED FOR INTERVIEW
BALNEG,SCI RESEARCH IS STRONGLY IN FAVOR OF HARMFUL RESULTS
BALPOS,SCI RESEARCH IS STRONGLY IN FAVOR OF BENEFITS
BALWKFAM,HOW SUCCESSFUL BALANCING WORK & FAMILY
BARATE,RATE OF  BA  DEGREE  EARNING IN  COLLEGE  RESPONDENT  ATTENDED
BASEOFOP,YOU HAVE BASE OF OPERATIONS
BEAUSPRT,SPIRITUALLY TOUCHED BY BEAUTY CREATION
BEFAIR,HOW OFTEN DO YOU THINK PEOPLE TAKE ADVANTAGE
BELIEVE,IMPORTANCE OF BELIEVING IN GOD W O DOUBT
BELIKEUS,AGREE BETTER IF PEOPLE WERE MORE LIKE AMERICANS
BELTUP,GOVT SHOULD REQUIRE USE OF SEAT BELTS
BELVEDOC,R BELIEVE WHAT DOCTOR SAID
BEPLESNT,I TRY TO BE PLEASANT SO NOT TO UPSET OTH.
BESTFRD,NUMBER OF OTHER CLOSE FRIENDS
BETRLANG,WHICH LANGUAGE R SPEAKS MORE FLUENT
BETTRLFE,SCIENCE MAKES OUR LIVES BETTER
BETTROWN,SITUATION WILL IMPROVE ON ITS OWN
BIBLE,FEELINGS ABOUT THE BIBLE
BIBLE1,DESCRIBE YOUR FEELINGS ABOUT THE BIBLE
BIBLEY,FEELINGS ABOUT THE BIBLE:VERSION Z
BIG5A1,R SEE ONESELF AS SOMEONE WHO IS RESERVED
BIG5A2,R SEE ONESELF AS SOMEONE WHO IS SOCIABLE
BIG5B1,R SEE ONESELF AS SOMEONE WHO IS GENERALLY TRUSTED
BIG5B2,R SEE ONESELF AS SOMEONE WHO TENDS TO FIND FAULT WITH OTHERS
BIG5C1,R SEE ONESELF AS SOMEONE WHO DOES A THOROUGH JOB
BIG5C2,R SEE ONESELF AS SOMEONE WHO TENDS TO BE LAZY
BIG5D1,R SEE ONESELF AS SOMEONE WHO IS RELAXED
BIG5D2,R SEE ONESELF AS SOMEONE WHO GETS NERVOUS EASILY
BIG5E1,R SEE ONESELF AS SOMEONE WHO HAS AN ACTIVE IMAGINATION
BIG5E2,R SEE ONESELF AS SOMEONE WHO HAS FEW ARTISTIC INTERESTS
BIGBAND,LIKE OR DISLIKE BIGBAND MUSIC
BIGBANG,SCI KNOWLEDGE: THE UNIVERSE BEGAN WITH A HUGE EXPLOSION
BIGBANG1,"ACCORDING TO ASTRONOMERS, UNIVERSE BEGAN WITH A BIG EXPLOSION: TRUE OR FALSE"
BIGBANG2,UNIVERSE EXPANDING SINCE IT BEGAN: TRUE OR FALSE
BILINGED,SUPPORT OR OPPOSE BILINGUAL EDUCATION
BIOSCI,HOW SCIENTIFIC: BIOLOGY
BIRD,BIRD
BIRDB4,BIRD
BIRTHMO,MONTH IN WHICH R WAS BORN
BIZBSTGM,BEST POLICY ON GMF VS NARROW INTEREST: BUSINESS LEADER
BIZBSTGW,BEST POLICY VS NARROW INTEREST: BUSINESS LEADER
BIZBSTNK,BUSINESS LEADERS BEST FOR COUNTRY
BIZBSTTX,BEST POLICY VS NARROW INTEREST ON FED INC TAX: BUSINESS LEADER
BIZGROSS,BUSINESS REVENUE LAST YEAR
BIZINFGM,INFLUENCE ON RESTRICTING GMF BY BUSINESS LEADERS
BIZINFGW,INFLUENCE ON GLOBAL WARMING POLICY: BUSINESS LEADER
BIZINFNK,BUSINESS LEADERS HOW MUCH INFLUENCE
BIZINFTX,INFLUENCE ON REDUCING FED INC TAXBY BUSINESS LEADERS
BIZNUKE,HOW WELL BUSINESS LEADER KNOW RISK BY NUCLEAR POWER
BIZPEOP,BUSINESS PEOPLE DO MORE FOR ENVIRONMENT
BIZSHARE,PERCENTAGE OWNERSHIP R HOLDS
BLESSNGS,FEEL THANKFUL FOR R'S BLESSINGS
BLKCHNG,PERCENTAGE CHANGE POPULATION OF BLACKS IN 25 YR
BLKCLS,DOES R FEEL CLOSE TO BLACKS
BLKCOL,GIVE COLLEGE AID TO BLACKS
BLKCOM,DOES R KNOW BLACKS FROM COMMUNITY
BLKGAINS,BEST WAY FOR BLACKS TO IMPROVE POSITION
BLKGOVT,DO BLACKS GET PROPER GOVT ATTENTION
BLKHOUSE,BLACKS DISCRIMINATED IN HOUSING
BLKINFLU,OPINION OF POLITICAL INFLUENCE OF BLACKS
BLKJOBS,BLACKS DISCRIMINATED IN JOBS
BLKREL,DOES R KNOW BLACKS AS RELATIVE
BLKSCHL,DOES R KNOW BLACKS FROM SCHOOL
BLKSCHS,SPEND MORE ON BLACK SCHOOLS
BLKSIMP,HAVE CONDITIONS FOR BLACKS IMPROVED
BLKWHITE,R AGREES RIGHT & WRONG NOT BLACK & WHITE
BLKWRK,DOES R KNOW BLACKS FROM WORK
BLKZONE,TAX BREAKS FOR BLACK AREAS
BLNUMOK,NUMBER OF BLACKS IN MILITARY
BLNUMOKY,NUMBER OF BLACKS IN MILITARY-VERSION Y
BLUES,LIKE OR DISLIKE BLUES OR R AND B MUSIC
BLUGRASS,LIKE OR DISLIKE BLUEGRASS MUSIC
BMITZVAH,R HAD BAR OR BAT MITZVAH WHEN R WAS A CHILD
BOOKMARK,HOW OFTEN R USES BOOKMARKS
BOOKS16,BOOKS IN HOME OF R AGE 16
BORED,HOW OFTEN DOES R HAVE EXTRA TIME
BOREDOM,HOW OFTEN IS R BORED AT WORK
BORN,WAS R BORN IN THIS COUNTRY
BORNHOME,WHAT KIND OF HOUSE R'S FAMILY LIVED AT BIRTH
BORNSP,IN WHAT COUNTRY WERE YOU BORN
BORROW1,BORROW MONEY #1
BORROW1A,WHO DOES R TURN TO FIRST WHEN LARGE MONEY NEEDED
BORROW2,BORROW MONEY #2
BORROW2A,WHO DOES R TURN TO SECOND WHEN LARGE MONEY NEEDED
BORROWED,HAVE YOU BORROWED $100+ FROM ANOTHER PERSON
BOSSEMPS,QUALITY OF MGMNT-EMPLOYEE RELS: R'S FIRM
BOSSWRKS,MANAGEMENT & WORKERS ALWAYS IN CONFLICT
BOYCOTT,HAVE EVER BOYCOTTED A PRODUCT PAST 5 YEARS
BOYORGRL,SCI KNOWLEDGE: FATHER GENE DECIDES SEX OF BABY
BRASS,WOMEN IN COMMAND OF MILITARY BASES
BRAZIL,LIKING FOR BRAZIL
BREAKDWN,HOW LIKELY X IS EXPERIENCING NERVOUS BREAKDOWN
BRIBE,DOES R SEE PUBLIC OFFICIAL ASKING FOR A BRIBE IN LAST FIVE YEARS
BRKDAS1,"1ST MENTION, WHAT NERVOUS BREAKDOWN IS, ASSERTED"
BRKDAS2,"2ND MENTION, WHAT NERVOUS BREAKDOWN IS, ASSERTED"
BRKDDO1,1ST MENTION WHAT R DID WHEN FELT NER. BREAK
BRKDDO2,2ND MENTION WHAT R DID WHEN FELT NER. BREAK
BRKDDO3,3RD MENTION WHAT R DID WHEN FELT NER. BREAK
BRKDDUR,"DURATION, SEVERITY OF NERVOUS BREAKDOWN FEELINGS"
BRKDHLP1,1ST MENTION WHAT HELP R SOUGHT
BRKDHLP2,2ND MENTION WHAT HELP R SOUGHT
BRKDHLP3,3RD MENTION WHAT HELP R SOUGHT
BRKDIMP1,"1ST MENTION, WHAT NERVOUS BREAKDOWN IS, IMPUTED"
BRKDIMP2,"2ND MENTION, WHAT NERVOUS BREAKDOWN IS, IMPUTED"
BRKDIMP3,"3RD MENTION, WHAT NERVOUS BREAKDOWN IS, IMPUTED"
BRKDOTH,"WHAT NERVOUS BREAKDOWN IS, OTHER CODES"
BRKDSYM1,"1ST MENTION, WHAT NERVOUS BREAKDOWN IS, SYMPTOMS"
BRKDSYM2,"2ND MENTION, WHAT NERVOUS BREAKDOWN IS, SYMPTOMS"
BRKDSYM3,"3RD MENTION, WHAT NERVOUS BREAKDOWN IS, SYMPTOMS"
BRKDTIME,WHEN FEELINGS OF NERVOUS BREAKDOWN HAPPENED
BRKDWHY1,1ST MENTION CAUSE OF NER. BREAK FEELINGS
BRKDWHY2,2ND MENTION CAUSE OF NER. BREAK FEELINGS
BRKDWHY3,3RD MENTION CAUSE OF NER. BREAK FEELINGS
BRLAWFL,DO PRIVATE COMPANIES COMPLY WITH REGULATIONS
BRNOTAX,DO PRIVATE COMPANIES AVOID TAXES
BROCALL,CONTACT WITH BROTHER
BRONUM,NUMBER OF ADULT BROTHERS
BROTIME,TRAVEL TIME TO BROTHER
BROVISIT,HOW OFTEN VISIT BROTHER
BROWSER1,R KNOWS WHAT AN INTERNET WEB BROWSER IS
BROWSER2,CAN R GIVE THE NAME OF A WEB BROWSER
BROWSER3,R SPECIFY NAME OF WEB BROWSER
BSTCALL,HOW OFTEN DOES R CALL BEST FRIEND
BSTVISIT,HOW OFTEN DOES R VISIT BEST FRIEND
BTHGRP1A,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP1B,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP1C,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP1D,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP1E,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP1F,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP2A,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP2B,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP2C,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP2D,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP2E,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP2F,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP3A,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP3B,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP3C,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP3D,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP3E,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP3F,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP4A,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP4B,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP4C,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP4D,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP4E,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP4F,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP5A,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP5B,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP5C,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP5D,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP5E,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BTHGRP5F,WHAT ARE THE GROUPS YOU BOTH BELONG TO?
BUDDHSTS,GROUP  - BUDDHISTS
BUGGING,PEOPLE WITH SECRET SHOULD BE SUBJECT TO WIRETAPPING
BURGLR,HOME BROKEN INTO DURING THE LAST YEAR
BUSDECID,GOVT SHOULD LET BIZ DECIDE HOW TO PROTECT ENVIR
BUSGRN,U.S. BUSINESS TO PROTECT ENVIRONMENT
BUSING,ATTITUDE TOWARD RACIAL BUSING
BUSING10,FAVOR BUSING 10 YRS AGO
BUSPOW,POWER OF BUSINESS AND INDUSTRY
BUSTAX,AMOUNT OF TAX ON BUSINESS AND INDUSTRY
BUYAUTO,WOULD YOU BUY A CAR FROM A BUSINESS
BUYBED,WOULD YOU BUY FURNITURE FROM A BUSINESS
BUYESOP,DOES EMPLOYEE OWNERSHIP MATTER WHEN R THINKS ABOUT BUYING FROM A COMPANY
BUYFIXES,WOULD YOU BUY HOME MAINTENANCE FROM A BUSINESS
BUYHOME,WOULD YOU BUY A HOUSE FROM A BUSINESS
BUYINF12,R USE WEB FOR PRODUCT INFORMATION IN PAST 12 MO
BUYINFGN,R SOUGHT INFORMATION PURCHASE PAST YEAR
BUYIT12,R USE WEB TO PURCHASE PRODUCTS IN PAST 12 MONTH
BUYLAW,WOULD YOU BUY LEGAL SVCS FROM A BUSINESS
BUYPOL,HOW IMPORTANT TO CHOOSE PRODUCTS FOR POL REASONS
BUYTHNGS,WHO HAS FINAL SAY ABOUT BUYING THINGS FOR HOME
BUYVALUE,PERCENT OF COMPANY STOCK R BOUGHT FROM OWN MONEY
BWFRIEND,FRIENDS BLACK OR WHITE
BYEMAIL,HOW MANY PEOPLE SEND EMAIL
BYEMPROB,HOW MANY FRIENDS DISCUSS PROBLEMS VIA EMAIL
BYPHONE,HOW MANY PEOPLE TALK TO ON PHONE
CALLCOMP,HAS R CALLED SOFTWARE COMPANY FOR HELP
CALM,FELT CALM?
CAMPING,WENT CAMPING IN LST YR
CAMWRK,GOVT CAMERA SURVEILLANCE AT WORK
CANADA,LIKING FOR CANADA
CANINF1,WOULD USE SEARCH ENGINE FOR INFORMATION ON CANDIDATE
CANINF10,WOULD GO TO PORTAL SITE FOR INFORMATION ON CANDIDATE
CANINF11,WOULD GO TO GOVT SITE FOR INFORMATION ON CANDID
CANINF12,WOULD REFUSE TO ANSWER NOT SURE DON'T KNOW
CANINF13,DOES R MENTIONED ANY SPECIFIC URL?
CANINF14,FIRST SITE MENTIONED
CANINF2,WOULD USE CATEGORY DIRECTORY INFORMATION ON CAN
CANINF3,WOULD USE BOOKMARK FOR INFORMATION ON CANDIDATE
CANINF4,WOULD GUESS OR TYPE SITE NAME FOR INFORMATION O
CANINF5,WOULD SEEK ADVICE FOR INFORMATION ON CANDIDATE
CANINF6,WOULD USE CHAT GROUP FOR INFORMATION ON CANDIDA
CANINF7,WOULD GO TO CANDIDATE SITE FOR INFORMATION ON C
CANINF8,WOULD GO TO POLITICS SITE FOR INFORMATION ON CA
CANINF9,WOULD GO TO NEWS SITE FOR INFORMATION ON CANDID
CANTRUST,PEOPLE CAN BE TRUSTED OR CANT BE TOO CAREFUL
CAPFIRM,HOW FIRM IS R'S OPINION OF DEATH PENALTY
CAPIMP,IMPORTANCE OF DEATH PENALTY ISSUE TO R
CAPINFO,HOW MUCH INFO R HAS ON DEATH PENALTY
CAPPUN,FAVOR OR OPPOSE DEATH PENALTY FOR MURDER
CAPPUN2,DOES R FAVOR CAPITAL PUNISHMENT
CARBUY1,WHAT WAS THE MOST IMPORTANT REASON?
CARBUYA,R'S OWN PREVIOUS KNOWLEDGE MADE R BUY
CARBUYB,A FRIEND OR RELATIVE RECOMMENDED R BUY
CARBUYC,AN ACQUAINTANCE RECOMMENDED R BUY
CARBUYD,GENERAL REPUTATION MADE R BUY
CARBUYE,R SAW THEIR ADVERTISEMENT
CARBUYF,R SEARCHED FOR THE BEST PRICE
CARBUYG,CONVENIENCE MADE R BUY
CARDEALR,PURCHASED A CAR FROM A DEALERSHIP PAST 5 YRS?
CARDO,WHAT WOULD YOU DO IN THIS SITUATION
CARECOST,WHO SHOULD PAY FOR COSTS OF CARE FOR UNDER SCHOOL AGE CHILD
CAREGRP,HOW COMMITTED TO GROUP IS R
CAREMOST,MOST CONCERNED POSSIBLE EFFECT OF GLOBAL WARMING
CAREPROV,WHO SHOULD PROVIDE CHILDCARE FOR UNDER SCHOOL AGE CHILD
CARESELF,THOSE IN NEED HAVE TO TAKE CARE OF THEMSELVES
CARESICK,WHO IN HOUSEHOLD CARES FOR SICK IN FAMILY
CARESIK1,WHO IN HOUSEHOLD CARES FOR SICK IN FAMILY
CARPRIVT,HAVE YOU PURCHASED A USED CAR PAST 5 YRS?
CARRIED,R CARRIED A STRANGER'S BELONGINGS
CARRIGHT,WHAT YOUR FRIEND HAS A RIGHT TO EXPECT FROM YOU
CARSFAM,CAR POLLUTION DANGER TO MY FAMILY
CARSGEN,CAR POLLUTION DANGER TO ENVIR
CARSTEN,CAR POLLUTION WILL INCREASE IN NEXT 10 YRS
CAT,CAT
CATB4,CAT
CATDRCTY,HOW OFTEN R USES WEB DIRECTORIES
CATHID,IF CATHOLIC WHAT IDENTITY
CATHSCH,CHILDREN ATTEND CATHOLIC SCHOOL
CATHTEMP,FEELING THERMOMETER:CATHOLICS
CCTV,CIVIL LIBERTIES - VIDEO SURVEILLANCE
CESD1,HOW MUCH TIME FELT DEPRESSED IN PAST WK
CESD2,HOW MUCH TIME SLEEP WAS RESTLESS IN PAST WK
CESD3,HOW MUCH TIME FELT HAPPY IN PAST WK
CESD4,HOW MUCH TIME FELT LONELY IN PAST WK
CESD5,HOW MUCH TIME FELT SAD IN PAST WK
CHANGE1,HELP REGARDING IMPORTANT CHANGE #1
CHANGE2,HELP REGARDING IMPORTANT CHANGE #2
CHANGED1,LIFE CHANGES FROM RELIGIOUS CHANGE1
CHANGED2,LIFE CHANGES FROM RELIGIOUS CHANGE2
CHANGED3,LIFE CHANGES FROM RELIGIOUS CHANGE3
CHARACTR,HOW LIKELY X S SITUATION CAUSED BY BAD CHARACTER
CHARISMA,IS R ASSOCIATED WITH CHARISMATIC MOVEMENT
CHAT12,R USE WEB FOR CHATROOMS IN PAST 12 MONTHS
CHATHR,CHATROOM HOURS PER WEEK
CHATMIN,CHATROOM MINUTES PER WEEK
CHEMBAL,SITUATION BY A CHEMICAL IMBALANCE IN THE BRAIN
CHEMFAM,PESTICIDES DANGER TO MY FAMILY
CHEMFREE,"BUY PESTICIDE FREE FRUITS, VEGETABLES"
CHEMGEN,PESTICIDES DANGER TO ENVIR
CHILD1,PERSON #1 IS R'S CHILD
CHILD2,PERSON #2 IS R'S CHILD
CHILD3,PERSON #3 IS R'S CHILD
CHILD4,PERSON #4 IS R'S CHILD
CHILD5,PERSON #5 IS R'S CHILD
CHILDREN,CHILDREN'S LIVES IMPROVED
CHILDS,NUMBER OF CHILDREN
CHINA,LIKING FOR CHINA
CHKFINAN,GOVERNMENT SHOULD VERIFY FINANCIAL ASSETS
CHKONJOB,PEOPLE WITH SECRET SHOULD BE SUBJECT TO MONITORING
CHKOTHER,PEOPLE WITH SECRET SHOULD BE SUBJECT TO MONITORING OF
CHKSPFIN,GOVERNMENT SHOULD VERIFY SPOUSE'S FINANCIAL ASSETS
CHKTAXES,GOVERNMENT SHOULD VERIFY TAX RECORDS
CHKTRAVL,GOVT CHECK INTERNATIONAL TRAVEL RECORDS
CHLDBEN,CHILDREN BENEFIT FROM TRADITIONAL FAMILY
CHLDCARE,SHOULD FAMILIES GET BENEFITS IF BOTH PARENTS WORK
CHLDDTH,DEATH OF CHILD
CHLDEDUC,EDUCATION IMPROVING?
CHLDFRND,HOW WILLING R HAVE CHILDREN MAKE FRIENDS WITH CH
CHLDHLP,WHAT SHOULD BE DONE TO HELP A NAMED YOUTH
CHLDHLTH,HEALTH CARE IMPROVING?
CHLDHOME,HOUSING IMPROVING?
CHLDHRT,CHILDREN HURT FROM TRADITIONAL FAMILY
CHLDIDEL,IDEAL NUMBER OF CHILDREN
CHLDLOVE,LOVE IMPROVING?
CHLDMORE,EXPECT MORE CHILDREN
CHLDMORL,MORAL-RELIGIOUS TRAINING IMPROVING?
CHLDNUM,HOW MANY CHILDREN EXPECTED
CHLDPRB,WHAT R THINK MAY BE WRONG WITH A NAMED YOUTH
CHLDPROB,HOW SERIOUS R CONSIDER HIS OR HER PROBLEM
CHLDSAFE,NEIGHBORHOOD SAFETY IMPROVING?
CHLDSCH,HOW WILLING R HAVE CHILD IN SAME CLASS OF R'S CH
CHLDSEX,QUALITIES FOR BOYS OR GIRLS
CHLDSEX1,QUALITIES FOR BOYS OR GIRLS:VARIANT
CHLDSKLS,ACQUIRING JOB SKILLS IMPROVING?
CHLDSOON,CHILDREN EXPECTED IN 5 YEARS
CHLDSUP,SUPERVISION IMPROVING?
CHLDTIME,TIME WITH KIDS IMPROVING?
CHLDVIG,VIGNETTE ASKED
CHNANG1,THINK ABOUT THE SITUATION
CHNANG10,YELLED OR HIT SOMETHING
CHNANG11,WAITED FOR FEELINGS TO PASS
CHNANG12,TRIED TO ACCEPT THE SITUATION
CHNANG13,LEFT THE SITUATION
CHNANG14,THOUGHT ABOUT HOW TO GET REVENGE
CHNANG15,PLANNED HOW TO END THE RELATIONSHIP
CHNANG16,OTHER (SPECIFY)
CHNANG2,HAD A DRINK OR TOOK A PILL
CHNANG3,TALKED TO THE PERSON I WAS ANGRY AT
CHNANG4,TALKED TO SOMEONE ELSE
CHNANG5,TRIED TO FORGET IT
CHNANG6,TRIED TO CHANGE THE SITUATION
CHNANG7,PRAYED FOR HELP FROM GOD
CHNANG8,FANTASIZED ABOUT A MAGICAL SOLUTION
CHNANG9,WENT OUT TO GET SOME EXERCISE
CHNGEORG,HOW LIKELY I'LL TRY TO FIND JOB IN ANOTHER ORG.
CHNGEOTH,HOW OFTEN R TRY TO PERSUADE OTHER TO SHARE VIEWS
CHNGEWRK,I WOULD CHANGE MY WORK FOR SOMETHING DIFFERENT
CHNGRBRN,R CHANGED RELIGION BECAUSE OF EXPERIENCE
CHNGREL,R CHANGED RELIGION BECAUSE OF EXPERIENCE
CHNGTME,HOW OFTEN R ALLOWED CHANGE SCHEDULE
CHNGWORK,I WOULD CHANGE MY JOB FOR SOMETHING ELSE
CHOICE,CHOICE WHAT TO DO IN LIFE IMPORTANT FOR FREEDOM
CHOICES,POLITICAL PARTIES DON'T GIVE REAL POLICY CHOICES
CHORES1,HELP FOR HOUSEHOLD TASKS #1
CHORES2,HELP FOR HOUSEHOLD TASKS #2
CHOSEDOC,R HAD ENOUGH CHOICES AMONG DOCS
CHRISSCH,CHILDREN ATTEND CHRISTIAN SCHOOL
CHRISTNS,GROUP  - CHRISTIANS
CHURCHTX,MEMBERSHIP IN CHURCH-RELATED GROUPS
CHURHACT,DOES R PARTICIPATE IN CHURCH ACTIVITIES
CHURHGRP,IS CHURCH GROUP CHURCH ITSELF
CHURHMEM,IS R A MEMBER OF CHURCH OR SYNAGOGUE
CHURHPOW,DO CHURCHES HAVE TOO MUCH POWER?
CHURHSCH,NUMBER OF YEARS R ATTENDED CHURCH SCHOOL
CIDEAGE,AGE OF MURDER VICTIM CLOSEST TO R
CIDEAGE2,AGE OF MURDER VICTIM 2ND CLOSEST TO R
CIDEAGE3,AGE OF MURDER VICTIM 3RD CLOSEST TO R
CIDEKNEW,#PEOPLE R KNOWS MURDERED IN LAST YEAR
CIDERAC2,RACE OF MURDER VICTIM 2ND CLOSEST TO R
CIDERAC3,RACE OF MURDER VICTIM 3RD CLOSEST TO R
CIDERACE,RACE OF MURDER VICTIM CLOSEST TO R
CIDEREG,REGION OF MURDER VICTIM CLOSEST TO R
CIDEREG2,REGION OF MURDER VICTIM 2ND CLOSEST TO R
CIDEREG3,REGION OF MURDER VICTIM 3RD CLOSEST TO R
CIDESEX,SEX OF MURDER VICTIM CLOSEST TO R
CIDESEX2,SEX OF MURDER VICTIM 2ND CLOSEST TO R
CIDESEX3,SEX OF MURDER VICTIM 3RD CLOSEST TO R
CIDEWHO,R'S RELATIONSHIP TO CLOSEST MURDEREE
CIDEWHO2,R'S RELATIONSHIP TO 2ND CLOSEST MURDEREE
CIDEWHO3,R'S RELATIONSHIP TO 3RD CLOSEST MURDEREE
CIGWEEK,HAS R SMOKED CIGARETTES IN LAST WEEK
CITIZEN,ARE YOU A CITIZEN OF AMERICA?
CITVIEWS,HOW IMPORTANT: POLITICIAN CONSIDER VIEWS OF CITIZEN
CITWORLD,I AM A CITIZEN OF THE WORLD
CIVIC,DOES R FOLLOW PUBLIC AFFAIRS?
CIVRIGHT,CIVIL RIGHTS DEMONSTRATION
CLASS,SUBJECTIVE CLASS IDENTIFICATION
CLASSICL,LIKE OR DISLIKE CLASSICAL MUSIC
CLASSICS,HS AND COLL STUDTS READ TOO MANY CLASSICS
CLASSY,SUBJECTIVE SOCIAL CLASS-VERSION Y
CLEAN,NEAT AND CLEAN
CLEAN1,WHO IN HOUSEHOLD DOES CLEANING
